StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
VANDENBERG MAIN BASE,Urbanization,Urbanization,2002,2004,0.03
VANDENBERG MAIN BASE,Urbanization,Urbanization,2005,2006,1.44
VANDENBERG MAIN BASE,Urbanization,Urbanization,2007,2008,3.51
VANDENBERG MAIN BASE,Urbanization,Urbanization,2009,2011,1.7699999999999998
VANDENBERG MAIN BASE,Urbanization,Urbanization,2012,2013,1.575
VANDENBERG MAIN BASE,Urbanization,Urbanization,2014,2016,2.07
VANDENBERG MAIN BASE,Urbanization,Urbanization,2017,2019,3.9
VANDENBERG MAIN BASE,Urbanization,Urbanization,2020,2021,0
