StateClassID,StateAttributeTypeID,AgeMin,AgeMax,Value,,,,,,,,,,,,,
Shrubland: Invaded Sage Steppe,Carbon Initial Conditions: Aboveground Fast,,,1.0129,,,,,,,,,,,,,
Shrubland: Invaded Sage Steppe,Carbon Initial Conditions: Aboveground Medium,,,0,,,,,,,,,,,,,
Shrubland: Invaded Sage Steppe,Carbon Initial Conditions: Aboveground Slow,,,6.9196,,,,,,,,,,,,,
Shrubland: Invaded Sage Steppe,Carbon Initial Conditions: Aboveground Very Fast,,,1.127,,,,,,,,,,,,,
Shrubland: Invaded Sage Steppe,Carbon Initial Conditions: Belowground Fast,,,0,,,,,,,,,,,,,
Shrubland: Invaded Sage Steppe,Carbon Initial Conditions: Belowground Slow,,,21.3933,,,,,,,,,,,,,
Shrubland: Invaded Sage Steppe,Carbon Initial Conditions: Belowground Very Fast,,,0.1764,,,,,,,,,,,,,
Shrubland: Invaded Sage Steppe,Carbon Initial Conditions: Snag Branch,,,0.584,,,,,,,,,,,,,
Shrubland: Invaded Sage Steppe,Carbon Initial Conditions: Snag Stem,,,0,,,,,,,,,,,,,
Shrubland: Native Sage Steppe,Carbon Initial Conditions: Coarse Roots,,,0,,,,,,,,,,,,,
Shrubland: Native Sage Steppe,Carbon Initial Conditions: Fine Roots,,,0.659,,,,,,,,,,,,,
Shrubland: Native Sage Steppe,Carbon Initial Conditions: Foliage,,,0.8268,,,,,,,,,,,,,
Shrubland: Native Sage Steppe,Carbon Initial Conditions: Merchantable,,,0,,,,,,,,,,,,,
Shrubland: Native Sage Steppe,Carbon Initial Conditions: Other Wood,,,0.3182,,,,,,,,,,,,,
Shrubland: Native Sage Steppe,Carbon Initial Conditions: Aboveground Fast,,,1.0129,,,,,,,,,,,,,
Shrubland: Native Sage Steppe,Carbon Initial Conditions: Aboveground Medium,,,0,,,,,,,,,,,,,
Shrubland: Native Sage Steppe,Carbon Initial Conditions: Aboveground Slow,,,6.9196,,,,,,,,,,,,,
Shrubland: Native Sage Steppe,Carbon Initial Conditions: Aboveground Very Fast,,,1.127,,,,,,,,,,,,,
Shrubland: Native Sage Steppe,Carbon Initial Conditions: Belowground Fast,,,0,,,,,,,,,,,,,
