Name,AttributeGroupID,Units,Description
Agriculture: Cropland,State Class,,
Agriculture: Pasture,State Class,,
Barren: All,State Class,,
Carbon Initial Conditions: Aboveground Fast,Carbon Initial Conditions,,
Carbon Initial Conditions: Aboveground Medium,Carbon Initial Conditions,,
Carbon Initial Conditions: Aboveground Slow,Carbon Initial Conditions,,
Carbon Initial Conditions: Aboveground Very Fast,Carbon Initial Conditions,,
Carbon Initial Conditions: Belowground Fast,Carbon Initial Conditions,,
Carbon Initial Conditions: Belowground Slow,Carbon Initial Conditions,,
Carbon Initial Conditions: Belowground Very Fast,Carbon Initial Conditions,,
Carbon Initial Conditions: Black Carbon,Carbon Initial Conditions,,
Carbon Initial Conditions: Coarse Roots,Carbon Initial Conditions,,
Carbon Initial Conditions: Fine Roots,Carbon Initial Conditions,,
Carbon Initial Conditions: Foliage,Carbon Initial Conditions,,
Carbon Initial Conditions: Merchantable,Carbon Initial Conditions,,
Carbon Initial Conditions: Other Wood,Carbon Initial Conditions,,
Carbon Initial Conditions: Snag Branch,Carbon Initial Conditions,,
Carbon Initial Conditions: Snag Stem,Carbon Initial Conditions,,
Developed: High Intensity,State Class,,
Developed: Low Intensity,State Class,,
Developed: Medium Intensity,State Class,,
Developed: Open Space,State Class,,
Developed: Transportation,State Class,,
Forest: Alder/Maple Group,State Class,,
Forest: Aspen/Birch Group,State Class,,
Forest: California Mixed Conifer Group,State Class,,
Forest: Douglas-fir Coastal Group,State Class,,
Forest: Douglas-fir Inland Group,State Class,,
Forest: Elm/Ash/Cottonwood Group,State Class,,
Forest: Exotic Hardwoods Group,State Class,,
Forest: Exotic Softwoods Group,State Class,,
Forest: Fir/Spruce/Mountain Hemlock Group,State Class,,
Forest: Hemlock/Sitka Spruce Group,State Class,,
Forest: Loblolly/Shortleaf Pine Group,State Class,,
Forest: Lodgepole Pine Group,State Class,,
Forest: Longleaf/Slash Pine Group,State Class,,
Forest: Maple/Beech/Birch Group,State Class,,
Forest: Oak/Gum/Cypress Group,State Class,,
Forest: Oak/Hickory Group,State Class,,
Forest: Oak/Pine Group,State Class,,
Forest: Other Western Hardwoods Group,State Class,,
Forest: Other Western Softwood Group,State Class,,
Forest: Pinyon/Juniper Group,State Class,,
Forest: Ponderosa Pine Group,State Class,,
Forest: Redwood Group,State Class,,
Forest: Spruce/Fir Group,State Class,,
Forest: Tanoak/Laurel Group,State Class,,
Forest: Tropical Hardwoods Group,State Class,,
Forest: Western Larch Group,State Class,,
Forest: Western Oak Group,State Class,,
Forest: Western White Pine Group,State Class,,
Forest: White/Red/Jack Pine Group,State Class,,
Grassland: All,State Class,,
Net Growth,Net Growth,,
Shrubland: All,State Class,,
Snow/Ice: All,State Class,,
Water: All,State Class,,
Wetland: Unconsolidated Shore,State Class,,
Wetland: Estuarine Emergent,State Class,,
Wetland: Palustrine Emergent,State Class,,
Wetland: Palustrine Forested Alder/Maple Group,State Class,,
Wetland: Palustrine Forested Aspen/Birch Group,State Class,,
Wetland: Palustrine Forested California Mixed Conifer Group,State Class,,
Wetland: Palustrine Forested Douglas-fir Coastal Group,State Class,,
Wetland: Palustrine Forested Douglas-fir Inland Group,State Class,,
Wetland: Palustrine Forested Elm/Ash/Cottonwood Group,State Class,,
Wetland: Palustrine Forested Exotic Hardwoods Group,State Class,,
Wetland: Palustrine Forested Exotic Softwoods Group,State Class,,
Wetland: Palustrine Forested Fir/Spruce/Mountain Hemlock Group,State Class,,
Wetland: Palustrine Forested Hemlock/Sitka Spruce Group,State Class,,
Wetland: Palustrine Forested Loblolly/Shortleaf Pine Group,State Class,,
Wetland: Palustrine Forested Lodgepole Pine Group,State Class,,
Wetland: Palustrine Forested Longleaf/Slash Pine Group,State Class,,
Wetland: Palustrine Forested Maple/Beech/Birch Group,State Class,,
Wetland: Palustrine Forested Oak/Gum/Cypress Group,State Class,,
Wetland: Palustrine Forested Oak/Hickory Group,State Class,,
Wetland: Palustrine Forested Oak/Pine Group,State Class,,
Wetland: Palustrine Forested Other Western Hardwoods Group,State Class,,
Wetland: Palustrine Forested Other Western Softwood Group,State Class,,
Wetland: Palustrine Forested Pinyon/Juniper Group,State Class,,
Wetland: Palustrine Forested Ponderosa Pine Group,State Class,,
Wetland: Palustrine Forested Redwood Group,State Class,,
Wetland: Palustrine Forested Spruce/Fir Group,State Class,,
Wetland: Palustrine Forested Tanoak/Laurel Group,State Class,,
Wetland: Palustrine Forested Tropical Hardwoods Group,State Class,,
Wetland: Palustrine Forested Western Larch Group,State Class,,
Wetland: Palustrine Forested Western Oak Group,State Class,,
Wetland: Palustrine Forested Western White Pine Group,State Class,,
Wetland: Palustrine Forested White/Red/Jack Pine Group,State Class,,
Wetland: Estuarine Forested Longleaf/Slash Pine Group,State Class,,
Wetland: Estuarine Forested Oak/Gum/Cypress Group,State Class,,
Wetland: Estuarine Forested Oak/Hickory Group,State Class,,
Wetland: Estuarine Forested Tropical Hardwoods Group,State Class,,
