MaximumAge,Color
0,"255,225,225,225"
20,"255,186,255,189"
40,"255,173,239,176"
60,"255,160,223,163"
80,"255,147,207,150"
100,"255,134,191,137"
120,"255,121,175,124"
140,"255,108,159,111"
160,"255,96,143,98"
180,"255,83,127,85"
200,"255,70,111,72"
220,"255,57,95,59"
240,"255,44,79,46"
260,"255,31,63,33"
280,"255,18,47,20"
299,"255,6,32,7"
