Iteration,Timestep,FromStratumID,FromSecondaryStratumID,FromTertiaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToStratumID,ToStateClassID,ToAgeMin,ToStockTypeID,TransitionGroupID,StateAttributeTypeID,FlowTypeID,TargetType,Multiplier,TransferToStratumID,TransferToSecondaryStratumID,TransferToTertiaryStratumID,TransferToStateClassID,TransferToAgeMin
,,,,,Forest: California Mixed Conifer Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Douglas-fir Coastal Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Douglas-fir Coastal Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Douglas-fir Coastal Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Douglas-fir Coastal Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Douglas-fir Coastal Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Douglas-fir Inland Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Douglas-fir Inland Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Douglas-fir Inland Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Douglas-fir Inland Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Douglas-fir Inland Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Elm/Ash/Cottonwood Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Elm/Ash/Cottonwood Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Elm/Ash/Cottonwood Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Elm/Ash/Cottonwood Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Elm/Ash/Cottonwood Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Exotic Hardwoods Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Exotic Hardwoods Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Exotic Hardwoods Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Exotic Hardwoods Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Exotic Hardwoods Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Exotic Softwoods Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Exotic Softwoods Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Exotic Softwoods Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Exotic Softwoods Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Exotic Softwoods Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Hemlock/Sitka Spruce Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Hemlock/Sitka Spruce Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Hemlock/Sitka Spruce Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Hemlock/Sitka Spruce Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Hemlock/Sitka Spruce Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Loblolly/Shortleaf Pine Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Loblolly/Shortleaf Pine Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Loblolly/Shortleaf Pine Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Loblolly/Shortleaf Pine Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Loblolly/Shortleaf Pine Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Lodgepole Pine Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Lodgepole Pine Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Lodgepole Pine Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Lodgepole Pine Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Lodgepole Pine Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Longleaf/Slash Pine Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
