TransitionGroupID,Summary,SummaryByStateClass,TimeSinceTransition,Spatial,SpatialEvents,SpatialTimeSinceTransition,SpatialProbability,AvgSpatialTimeSinceTransition
Succession Post Fire: Spruce/Fir Group [Type],Yes,No,No,No,No,No,No,No
Succession Post Fire: Tanoak/Laurel Group [Type],Yes,No,No,No,No,No,No,No
Succession Post Fire: Tropical Hardwoods Group [Type],Yes,No,No,No,No,No,No,No
Succession Post Fire: Western Larch Group [Type],Yes,No,No,No,No,No,No,No
Succession Post Fire: Western Oak Group [Type],Yes,No,No,No,No,No,No,No
Succession Post Fire: Western White Pine Group [Type],Yes,No,No,No,No,No,No,No
Succession Post Fire: White/Red/Jack Pine Group [Type],Yes,No,No,No,No,No,No,No
Succession: Post Fire Recovery,Yes,No,No,Yes,No,No,Yes,No
Urbanization,Yes,No,No,Yes,No,No,Yes,No
Urbanization: High [Type],Yes,No,No,No,No,No,No,No
Urbanization: Low [Type],Yes,No,No,No,No,No,No,No
Urbanization: Medium [Type],Yes,No,No,No,No,No,No,No
Urbanization: Open [Type],Yes,No,No,No,No,No,No,No
