Iteration,Timestep,ExternalVariableTypeID,ExternalVariableValue,DistributionTypeID,DistributionFrequency,DistributionSD,DistributionMin,DistributionMax
,2002,Fire,2002,,,,,
,2003,Fire,2003,,,,,
,2004,Fire,2004,,,,,
,2005,Fire,2005,,,,,
,2006,Fire,2006,,,,,
,2007,Fire,2007,,,,,
,2008,Fire,2008,,,,,
,2009,Fire,2009,,,,,
,2010,Fire,2010,,,,,
,2011,Fire,2011,,,,,
,2012,Fire,2012,,,,,
,2013,Fire,2013,,,,,
,2014,Fire,2014,,,,,
,2015,Fire,2015,,,,,
,2016,Fire,2016,,,,,
,2017,Fire,2017,,,,,
,2018,Fire,2018,,,,,
,2019,Fire,2019,,,,,
,2020,Fire,2020,,,,,
,2021,Fire,2021,,,,,
,2022,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2023,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2024,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2025,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2026,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2027,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2028,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2029,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2030,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2031,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2032,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2033,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2034,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2035,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2036,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2037,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2038,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2039,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2040,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2041,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2042,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2043,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2044,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2045,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2046,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2047,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2048,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2049,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2050,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2051,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2052,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2053,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2054,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2055,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2056,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2057,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
,2058,Fire,,Uniform Integer,Iteration and Timestep,,2002,2021
