Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Developed: Low Intensity,,Developed: High Intensity,,,Intensification: Low to High,1.0000,,,,,,,,
,,,Developed: Low Intensity,,Developed: Medium Intensity,,,Intensification: Low to Medium,1.0000,,,,,,,,
,,,Developed: Medium Intensity,,Developed: High Intensity,,,Intensification: Medium to High,1.0000,,,,,,,,
,,,Developed: Open Space,,Developed: High Intensity,,,Intensification: Open to High,1.0000,,,,,,,,
,,,Developed: Open Space,,Developed: Low Intensity,,,Intensification: Open to Low,1.0000,,,,,,,,
,,,Developed: Open Space,,Developed: Medium Intensity,,,Intensification: Open to Medium,1.0000,,,,,,,,
