Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Forest: Oak/Gum/Cypress Group,,Forest: Oak/Gum/Cypress Group,,,Fire: Low Severity,1,,,,,No,,,
,,,Forest: Oak/Gum/Cypress Group,,Forest: Oak/Gum/Cypress Group,,,Fire: Medium Severity,1,,,,,No,,,
,,,Forest: Oak/Gum/Cypress Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,Yes,,,
,,,Forest: Oak/Hickory Group,,Forest: Oak/Hickory Group,,,Fire: Low Severity,1,,,,,No,,,
,,,Forest: Oak/Hickory Group,,Forest: Oak/Hickory Group,,,Fire: Medium Severity,1,,,,,No,,,
,,,Forest: Oak/Hickory Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,Yes,,,
,,,Forest: Oak/Pine Group,,Forest: Oak/Pine Group,,,Fire: Low Severity,1,,,,,No,,,
,,,Forest: Oak/Pine Group,,Forest: Oak/Pine Group,,,Fire: Medium Severity,1,,,,,No,,,
,,,Forest: Oak/Pine Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,Yes,,,
,,,Forest: Other Western Hardwoods Group,,Forest: Other Western Hardwoods Group,,,Fire: Low Severity,1,,,,,No,,,
,,,Forest: Other Western Hardwoods Group,,Forest: Other Western Hardwoods Group,,,Fire: Medium Severity,1,,,,,No,,,
,,,Forest: Other Western Hardwoods Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,Yes,,,
,,,Forest: Other Western Softwood Group,,Forest: Other Western Softwood Group,,,Fire: Low Severity,1,,,,,No,,,
,,,Forest: Other Western Softwood Group,,Forest: Other Western Softwood Group,,,Fire: Medium Severity,1,,,,,No,,,
,,,Forest: Other Western Softwood Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,Yes,,,
,,,Forest: Pinyon/Juniper Group,,Forest: Pinyon/Juniper Group,,,Fire: Low Severity,1,,,,,No,,,
,,,Forest: Pinyon/Juniper Group,,Forest: Pinyon/Juniper Group,,,Fire: Medium Severity,1,,,,,No,,,
,,,Forest: Pinyon/Juniper Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,Yes,,,
,,,Forest: Ponderosa Pine Group,,Forest: Ponderosa Pine Group,,,Fire: Low Severity,1,,,,,No,,,
