Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Forest: Hemlock/Sitka Spruce Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Lodgepole Pine Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Lodgepole Pine Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Longleaf/Slash Pine Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Longleaf/Slash Pine Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Maple/Beech/Birch Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Maple/Beech/Birch Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Oak/Gum/Cypress Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Oak/Gum/Cypress Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Oak/Hickory Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Oak/Hickory Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Oak/Pine Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Oak/Pine Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Other Western Hardwoods Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Other Western Hardwoods Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Other Western Softwood Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Other Western Softwood Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Pinyon/Juniper Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Pinyon/Juniper Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Ponderosa Pine Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Ponderosa Pine Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Redwood Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Redwood Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Spruce/Fir Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Spruce/Fir Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Tanoak/Laurel Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Tanoak/Laurel Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Tropical Hardwoods Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Tropical Hardwoods Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Western Larch Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Western Larch Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Western Oak Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Western Oak Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: Western White Pine Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: Western White Pine Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Forest: White/Red/Jack Pine Group,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Forest: White/Red/Jack Pine Group,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Grassland: Annual,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Grassland: Natural Perennial,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Grassland: Irrigated Perennial,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Shrubland: Native Sage Steppe,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Shrubland: Invaded Sage Steppe,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Shrubland: Sage,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Shrubland: Non-sage,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Shrubland: Chaparral,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Shrubland: Post Fire Shrub,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Wetland: Palustrine Forested,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Wetland: Estuarine Forested,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Wetland: Palustrine Emergent,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Wetland: Estuarine Emergent,,Agriculture: Cropland,,,Ag Expansion: Cropland,1,,,,,,,,
,,,Grassland: Annual,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Grassland: Natural Perennial,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Grassland: Irrigated Perennial,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Shrubland: Native Sage Steppe,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Shrubland: Invaded Sage Steppe,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Shrubland: Sage,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Shrubland: Non-sage,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Shrubland: Chaparral,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Shrubland: Post Fire Shrub,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Wetland: Palustrine Forested,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Wetland: Estuarine Forested,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Wetland: Palustrine Emergent,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
,,,Wetland: Estuarine Emergent,,Agriculture: Pasture,,,Ag Expansion: Pasture,1,,,,,,,,
